,id,device_model_1,device_model_2,device_model_3,created_at_1,created_at_2,created_at_3
0,10014,Samsung Galaxy S5,Samsung Galaxy S7,,2020-02-24 00:54:01,2020-02-28 05:15:08,
1,10015,Samsung Galaxy Note 3,Samsung Galaxy S5,,2020-02-17 15:01:18,2020-02-18 07:26:40,
2,10025,Samsung Galaxy Tab A,Samsung Galaxy S5 NEO,,2020-02-26 18:44:51,2020-03-01 18:24:53,
3,10031,Sony Xperia Z3 Compact,Sony Xperia Z3,,2020-02-17 17:58:16,2020-02-27 13:23:39,
4,10044,Apple iPhone 6,Apple iPhone 6,,2020-02-23 22:25:36,2020-02-19 20:28:22,
5,10115,Apple iPhone 6,Apple iPad Pro,,2020-02-23 13:00:08,2020-02-28 19:11:37,
6,10129,Apple iPhone 7,Apple iPhone 6 Plus,,2020-02-16 02:14:41,2020-02-22 20:32:21,
7,11809,Apple iPhone 6 Plus,Apple iPhone 6,,2020-02-12 19:10:00,2020-03-01 11:43:18,
8,12806,Apple iPhone 4s,Apple iPhone 6s,,2020-03-01 11:43:47,2020-08-01 11:59:10,
9,21866,Apple iPhone 8,Apple iPhone 11,,2021-01-10 00:00:20.500000+00:00,21622975988,
10,21868,Samsung Galaxy S20 FE,Samsung Galaxy A11,,1603926634000,1625580259038,
11,90869,Apple iPhone 5,Apple iPhone 6,,2020-02-28 03:27:27,2020-03-01 17:46:23,
12,91034,Apple iPhone 6,Apple iPhone 7,,2020-03-01 13:11:34,2021-03-01 13:33:43,
13,91255,Apple iPhone 6 Plus,Apple iPhone 6,,2020-02-23 22:36:30,2020-02-28 05:44:51,
14,91394,Apple iPhone 5s,Apple iPhone 6s,,2020-02-24 08:22:46,2020-02-28 13:15:05,
15,91470,Apple iPhone 6,Apple iPhone 5s,,2020-02-28 18:02:23,2020-02-28 23:04:25,
16,91500,Apple iPhone 6 Plus,Apple iPhone 5s,,2020-02-25 22:53:06,2020-02-22 12:30:05,
17,91507,Apple iPhone 5c,Apple iPhone 5c,,2020-02-15 22:15:02,2020-03-01 19:30:19,
18,91534,Apple iPhone 6s,Apple iPhone 5s,,2020-02-21 00:57:22,2020-02-18 11:32:05,
19,91548,Apple iPhone 5s,Apple iPad Mini,,2020-02-27 15:28:06,2020-02-28 00:58:18,
20,91608,Apple iPhone 5,Apple iPhone 7,Apple iPhone 5,2020-02-17 01:24:03,2020-02-26 08:37:08,2020-02-26 23:50:20
21,91836,Apple iPhone 6,Apple iPhone 6s Plus,,2020-02-25 22:27:55,2020-03-01 00:52:57,
22,91933,Apple iPhone 6s,Apple iPhone 5s,,2020-02-28 12:11:21,2020-02-28 18:30:20,
23,91943,Apple iPhone 6s,Apple iPhone 6,,2020-02-25 08:20:08,2020-02-26 13:59:51,
24,91969,Apple iPhone 6,Apple iPhone 6s,,2020-02-15 20:21:32,2020-02-28 18:43:24,
25,92000,Apple iPhone 6,Apple iPhone 6,,2020-02-12 15:06:00,2020-02-25 10:23:20,
26,92047,Apple iPhone 6,Apple iPhone 6,,2020-02-24 02:26:37,2020-02-26 12:20:59,
27,92048,Apple iPhone 5s,Apple iPhone 6s,,2020-02-18 15:34:06,2020-02-27 16:29:07,
28,92069,Apple iPhone 6,Apple iPhone 7,Apple iPhone 5c,2020-02-14 20:23:19,2020-02-22 23:24:28,2020-02-26 05:31:41
29,92083,Apple iPhone 7,Apple iPhone 7,Apple iPhone 6,2020-02-20 20:10:59,2020-02-28 11:00:12,2020-03-01 02:30:00
30,92086,Apple iPhone 7,Apple iPhone 6,,2020-02-28 12:28:21,2020-02-17 09:31:39,
31,92119,Apple iPhone 5s,Apple iPhone 7,,2020-02-21 21:56:00,2020-03-01 18:29:34,
32,92171,Apple iPhone 6,Apple iPhone 7 Plus,,2020-02-28 23:35:50,2020-02-16 16:14:42,
33,92467,Apple iPhone 6,Apple iPhone 6s,,2020-02-17 02:39:58,2020-02-22 02:22:41,
34,92556,Apple iPhone 5s,Apple iPhone 5s,,2020-02-17 03:50:12,2020-02-25 19:56:20,
35,92754,Apple iPhone 6,Apple iPhone 6s,,2020-02-24 20:28:09,2020-02-25 03:38:35,
36,92976,Apple iPhone 4s,Apple iPhone 5c,,2020-02-21 20:03:17,2020-02-25 11:43:17,
37,93154,Apple iPhone 5s,Apple iPhone 6 Plus,,2020-02-21 20:30:56,2020-02-23 22:49:25,
38,93311,Apple iPhone 6,Apple iPhone 5s,,2020-02-09 11:39:57,2020-02-17 12:26:51,
39,93593,Apple iPhone 5s,Apple iPhone 6,,2020-02-18 20:37:01,2020-02-24 20:02:49,
40,93805,Apple iPhone 7,Apple iPhone 6,,2020-02-14 15:37:25,2020-02-27 18:24:03,
41,94070,Apple iPhone 5s,Apple iPhone 5c,,2020-02-23 23:20:07,2020-02-28 06:40:47,
